Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S10,EMATent,0.109647236764431,0.109647236764431,0.9781075119972229,0.0,0.4671058289706707,0.5,0.032894171029329296,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.853682279586792,0.853682279586792,0.6456230282783508,1.0,0.24389531612396242,0.5,0.2561046838760376,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8682008981704712,0.8682008981704712,0.6177782416343689,1.0,0.23953973054885866,0.5,0.26046026945114137,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8450646996498108,0.8450646996498108,0.775323748588562,1.0,0.24648059010505677,0.5,0.2535194098949432,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.160710409283638,0.160710409283638,0.9632365703582764,0.0,0.4517868772149086,0.5,0.0482131227850914,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6526212096214294,0.6526212096214294,0.7504882216453552,1.0,0.3042136371135712,0.5,0.19578636288642884,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6692977547645569,0.6692977547645569,0.6491234302520752,1.0,0.2992106735706329,0.5,0.20078932642936706,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6557409763336182,0.6557409763336182,0.6518597602844238,1.0,0.30327770709991453,0.5,0.19672229290008544,0.0,0.0,7,8,0,0.0,8,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,MIDynamicEMATent,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.021838359534740448,0.021838359534740448,0.109647236764431,0.08780887722969055,0.9907402795849708,0.0027082125546070337,0.006551507860422134,0.002726072439623306,1.3976550102233887,0.004367671906948089,0.0,0.10422705113887787,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S10,MIDynamicEMATent,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.0708380714058876,0.0708380714058876,0.6197370886802673,0.5488989949226379,0.9674756350283554,0.011272943549878312,0.02125142142176628,0.011517711286236354,5.931291580200195,0.014167614281177517,1.0,0.672788143157959,0.05,1.0,1.0,59.0,0.921875,5.0,0.078125,0.0,0.0,0.921875,2.0,0.6666666666666667
S10,MIDynamicEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.12466155737638474,0.12466155737638474,0.8520060777664185,0.7273445129394531,0.9368023311221847,0.02579920166489989,0.03739846721291542,0.026801538109129885,13.909631252288818,0.02493231147527694,1.0,0.8999199867248535,0.05,1.0,1.0,36.0,0.5625,28.0,0.4375,0.0,0.0,0.5625,2.0,0.6666666666666667
S10,MIDynamicEMATent,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.4421616792678833,0.4421616792678833,0.9918725490570068,0.5497108697891235,0.7987171298080339,0.06863436641160116,0.132648503780365,0.07913097136598612,42.20797872543335,0.08843233585357664,1.0,0.6531771421432495,0.05,1.0,1.0,12.0,0.1875,32.0,0.5,20.0,0.3125,0.5,3.0,0.3541666666666667
S10,MIDynamicEMATent,,,,,,,,,,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,0.02902637980878353,0.02902637980878353,0.1866920292377472,0.1576656550168991,0.9095440897417916,0.08174799631557343,0.00870791394263506,0.08246610405285004,44.065667033195496,0.005805275961756705,0.0,0.12152361869812012,0.05,1.0,1.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,0.5260416666666667
S10,MIDynamicEMATent,,,,,,,,,,5,64,0,0.0,64,1.0,0,0.0,1.0,1,0.05842367187142372,0.05842367187142372,0.4808410704135895,0.42241740226745605,0.8948928980835,0.08758000035507287,0.017527101561427116,0.08914240840053933,47.804782032966614,0.011684734374284743,1.0,0.44870448112487793,0.05,1.0,1.0,0.0,0.0,2.0,0.03125,62.0,0.96875,0.96875,2.0,0.6666666666666667
S10,MIDynamicEMATent,,,,,,,,,,6,64,0,0.0,64,1.0,0,0.0,1.0,1,0.047311048954725266,0.047311048954725266,0.4309886693954468,0.3836776316165924,0.8926349260130622,0.09317175930052024,0.01419331468641758,0.09451321510452382,50.83268916606903,0.009462209790945052,0.0,0.47347021102905273,0.05,1.0,1.0,0.0,0.0,2.0,0.03125,62.0,0.96875,0.96875,2.0,0.6666666666666667
S10,MIDynamicEMATent,,,,,,,,,,7,8,0,0.0,8,1.0,0,0.0,1.0,1,0.026435742154717445,0.026435742154717445,0.4397442936897278,0.4133085608482361,0.897934644220985,0.09413463313259972,0.007930722646415233,0.0948871568563342,51.04417510330677,0.005287148430943488,0.0,0.4457054138183594,0.05,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.6666666666666667
S10,MIDynamicRelaxed,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.09154055267572403,0.30255669332494367,0.3260748088359833,0.23453424870967865,0.755576286661257,0.12340103600876551,0.12102267732997747,0.14039160377188886,19.363628372796395,0.06051133866498872,1.0,0.19907045364379883,0.0,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
