Task,Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,EmaTentCaseS00E50B50M070_Acc,EmaTentCaseS00E50B50M070_F1_0,EmaTentCaseS00E50B50M070_F1_1,EmaTentCaseS00E50B50M070_MacroF1,BestMethod,BestBaseline,BestBaseline_MacroF1,EMATent_gain_vs_source,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_source,EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Norm_gain_vs_source,Norm_gain_vs_best_baseline,Tent_gain_vs_source,Tent_gain_vs_best_baseline,OFTTA_gain_vs_source,OFTTA_gain_vs_best_baseline,DefaultEMA_beats_all_baselines,BestEMA_beats_all_baselines,DefaultEMA_beats_source,BestEMA_beats_source,num_windows,num_batches,mean_majority_ratio,max_majority_ratio,std_majority_ratio,single_class_batches,full_single_class_batches,first_batch_majority_ratio,last_batch_majority_ratio,first_batch_label1_ratio,last_batch_label1_ratio,batch_label1_drift,mean_abs_batch_label1_change,default_ema_mean_raw_gate,default_ema_min_raw_gate,default_ema_mean_effective_batch_weight,default_ema_mean_effective_source_weight,default_ema_mean_confidence,default_ema_updated_rate,best_ema_mean_raw_gate,best_ema_min_raw_gate,best_ema_mean_effective_batch_weight,best_ema_mean_effective_source_weight,best_ema_mean_confidence,best_ema_updated_rate
valence,S1,0.4962406015037593,0.6298342541436464,0.2117647058823529,0.4207994800129996,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.6165413533834586,0.6458333333333334,0.5819672131147541,0.6139002732240437,0.6015037593984962,0.6535947712418301,0.5309734513274337,0.5922841112846319,Norm,Norm,0.6448389699948647,0.19310079321104412,-0.03093869677082095,0.17148463127163227,-0.0525548587102328,0.22403948998186507,0.0,0.22403948998186507,0.0,0.19617355920268664,-0.027865930779178427,0,0,1,1,266,5,0.728125,1.0,0.14809994513840982,1,0,0.734375,1.0,0.265625,1.0,0.734375,0.35546875,0.939979350566864,0.8201050162315369,0.2819938051700591,0.21800619482994077,0.6647538661956787,1.0,0.9216344952583313,0.7983236908912659,0.46081724762916565,0.0391827523708343,0.6816914916038513,1.0
valence,S2,0.6007905138339921,0.6576271186440678,0.5213270142180095,0.5894770664310387,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.7628458498023716,0.8235294117647058,0.6385542168674698,0.7310418143160878,0.7272727272727273,0.7795527156549521,0.6424870466321243,0.7110198811435382,0.7154150197628458,0.7662337662337663,0.6363636363636364,0.7012987012987013,OFTTA,OFTTA,0.7310418143160878,0.1215428147124995,-0.020021933172549633,0.11182163486766261,-0.029743113017386524,0.0005414299597097383,-0.1410233179253394,0.0005414299597097383,-0.1410233179253394,0.14156474788504914,0.0,0,0,1,1,253,4,0.7106173155737705,0.84375,0.1064745856784093,0,0,0.78125,0.639344262295082,0.21875,0.639344262295082,0.420594262295082,0.31728142076502736,0.9884616583585739,0.978816032409668,0.29653849750757216,0.20346150249242784,0.6801415979862213,1.0,0.986430749297142,0.9668455123901368,0.493215374648571,0.006784625351428949,0.6870390772819519,1.0
valence,S3,0.4531835205992509,0.0,0.6237113402061856,0.3118556701030928,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6404494382022472,0.673469387755102,0.6,0.636734693877551,0.5468164794007491,0.4154589371980676,0.6299694189602446,0.5227141780791561,0.6704119850187266,0.6535433070866141,0.6857142857142857,0.6696287964004499,EmaTentCaseS00E50B50M070,Norm,0.6588973427208722,0.21085850797606331,-0.1361831646417161,0.35777312629735714,0.01073145367957773,0.3470416726177794,0.0,0.3470416726177794,0.0,0.3248790237744582,-0.022162648843321198,0,1,1,1,267,5,0.784375,1.0,0.15699820858850588,1,0,0.78125,1.0,0.21875,0.0,0.21875,0.453125,0.6830152809619904,0.4773707687854767,0.2049045842885971,0.29509541571140285,0.8348528146743774,1.0,0.6859114468097687,0.4758191406726837,0.3429557234048843,0.15704427659511558,0.8319962501525879,1.0
valence,S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.3258426966292135,0.256198347107438,0.3835616438356164,0.3198799954715272,0.3258426966292135,0.256198347107438,0.3835616438356164,0.3198799954715272,0.3146067415730337,0.3487544483985765,0.2766798418972332,0.3127171451479048,0.5955056179775281,0.46,0.6766467065868264,0.5683233532934132,0.5168539325842697,0.4819277108433735,0.5473684210526316,0.5146480659480026,EMATent,Source,0.5244327421977852,0.043890611095627974,0.043890611095627974,-0.009784676249782631,-0.009784676249782631,-0.20455274672625806,-0.20455274672625806,-0.20455274672625806,-0.20455274672625806,-0.21171559704988047,-0.21171559704988047,1,0,1,0,267,5,0.725,1.0,0.17583506120793999,1,0,0.546875,1.0,0.453125,1.0,0.546875,0.25390625,0.8726525664329529,0.6542725563049316,0.26179576992988585,0.2382042300701141,0.759782361984253,1.0,0.866200041770935,0.659631609916687,0.4331000208854675,0.06689997911453241,0.7569526910781861,1.0
valence,S5,0.6564625850340136,0.7262872628726287,0.5388127853881278,0.6325500241303783,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.7312925170068028,0.7584097859327217,0.6973180076628352,0.7278638967977784,0.6428571428571429,0.6808510638297872,0.5945945945945946,0.6377228292121909,0.6700680272108843,0.6996904024767802,0.6339622641509434,0.6668263333138618,OFTTA,OFTTA,0.7278638967977784,0.005172805081812615,-0.09014106758558749,0.034276309183483455,-0.061037563483916646,0.05111978555319896,-0.04419408711420114,0.05111978555319896,-0.04419408711420114,0.0953138726674001,0.0,0,0,1,1,294,5,0.5983552631578947,0.7105263157894737,0.06607790392498171,0,0,0.578125,0.7105263157894737,0.421875,0.7105263157894737,0.2886513157894737,0.16591282894736842,0.9577951073646546,0.8513361215591431,0.28733853220939637,0.21266146779060358,0.7097873568534852,1.0,0.9505805015563965,0.8513361215591431,0.47529025077819825,0.02470974922180172,0.7177428603172302,1.0
valence,S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.421259842519685,0.4280155642023346,0.4143426294820717,0.4211790968422031,0.4330708661417323,0.5443037974683544,0.25,0.3971518987341772,OFTTA,OFTTA,0.5274378275043952,0.0878457635088698,-0.10625873066219205,0.06381856540084391,-0.13028592877021794,0.1192528735632184,-0.07485162060784345,0.1192528735632184,-0.07485162060784345,0.19410449417106185,0.0,0,0,1,1,254,4,0.5940020161290323,0.65625,0.05495858743416579,0,0,0.640625,0.532258064516129,0.359375,0.532258064516129,0.172883064516129,0.14028897849462366,0.557072204304859,0.004454898647964,0.16712166129145767,0.3328783387085423,0.82020702958107,0.75,0.6652855991851538,0.004454898647964,0.3326427995925769,0.16735720040742305,0.7727009057998657,0.75
valence,S7,0.7086956521739131,0.8295165394402035,0.0,0.4147582697201017,0.3260869565217391,0.4636678200692041,0.0935672514619883,0.2786175357655962,0.3260869565217391,0.4636678200692041,0.0935672514619883,0.2786175357655962,0.4913043478260869,0.6422018348623854,0.1203007518796992,0.3812512933710423,0.5173913043478261,0.6605504587155964,0.1654135338345864,0.4129819962750914,0.4565217391304347,0.584717607973422,0.2138364779874214,0.3992770429804216,Source,Source,0.4147582697201017,-0.0017762734450103013,-0.0017762734450103013,-0.01548122673968011,-0.01548122673968011,-0.1361407339545055,-0.1361407339545055,-0.1361407339545055,-0.1361407339545055,-0.033506976349059414,-0.033506976349059414,0,0,0,0,230,4,0.7206003289473684,0.84375,0.12818713102154658,0,0,0.8125,0.7105263157894737,0.1875,0.2894736842105263,0.10197368421052633,0.2735745614035088,0.4905827837064862,0.0025602020323276,0.1471748351119458,0.35282516488805404,0.9514786005020142,0.5,0.5707044834271073,0.0025602020323276,0.28535224171355367,0.21464775828644628,0.9382110238075256,0.75
valence,S8,0.4301470588235294,0.5481049562682215,0.2288557213930348,0.3884803388306281,0.5441176470588235,0.5921052631578947,0.4833333333333333,0.537719298245614,0.5441176470588235,0.5921052631578947,0.4833333333333333,0.537719298245614,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.4117647058823529,0.4871794871794871,0.3103448275862069,0.398762157382847,0.4669117647058823,0.5425867507886435,0.3612334801762114,0.4519101154824274,Norm,Norm,0.537719298245614,0.01028181855221888,-0.13895714086276706,0.06342977665179927,-0.08580918276318666,0.14923895941498594,0.0,0.14923895941498594,0.0,0.12227583067796971,-0.02696312873701623,0,0,1,1,272,5,0.746875,1.0,0.18656014445749125,1,0,0.8125,1.0,0.1875,1.0,0.8125,0.3984375,0.7052738398313523,0.171238824725151,0.21158215194940566,0.2884178480505943,0.8890920281410217,0.8,0.7025873631238937,0.1840593367815017,0.35129368156194685,0.1487063184380531,0.8875262260437011,0.8
valence,S9,0.3100775193798449,0.0111111111111111,0.4702380952380952,0.2406746031746031,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.4689922480620155,0.4408163265306122,0.4944649446494465,0.4676406355900294,0.4806201550387597,0.5347222222222222,0.4122807017543859,0.4735014619883041,Norm,Norm,0.558974358974359,0.2269660324154263,-0.0913337233843296,0.23282685881370102,-0.08547289698605487,0.3182997557997559,0.0,0.3182997557997559,0.0,0.2769333702473239,-0.041366385552431995,0,0,1,1,258,5,0.7375,1.0,0.20832291640623699,1,0,0.984375,1.0,0.015625,1.0,0.984375,0.24609375,0.7161373317241668,0.3079470098018646,0.21484119951725003,0.28515880048274994,0.8020645141601562,1.0,0.7284626543521882,0.3043363988399505,0.3642313271760941,0.13576867282390592,0.7896819829940795,1.0
valence,S10,0.3591549295774648,0.0,0.5284974093264249,0.2642487046632124,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.4431372549019607,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.4431372549019607,0.4683098591549295,0.5746478873239437,0.2910798122065727,0.4328638497652582,0.323943661971831,0.1652173913043478,0.4319526627218935,0.2985850270131206,0.3732394366197183,0.3904109589041096,0.3550724637681159,0.3727417113361128,Norm,Norm,0.4431372549019607,0.034336322349908244,-0.1445522278888401,0.1084930066729004,-0.07039554356584793,0.17888855023874833,0.0,0.17888855023874833,0.0,0.16861514510204584,-0.010273405136702496,0,0,1,1,284,5,0.7299107142857142,0.859375,0.1283977000874825,0,0,0.53125,0.8214285714285714,0.53125,0.8214285714285714,0.2901785714285714,0.36160714285714285,0.30694309771060946,0.0064998604357242,0.09208292931318278,0.40791707068681704,0.9438931107521057,0.6,0.4163829557597637,0.0064998604357242,0.20819147787988185,0.2918085221201181,0.9309196710586548,0.6
